X,Y,Z,Roll,Pitch,Yaw
0.542313007,0.25,-0.036327953,-37.73,0,0
0,-0.25,0.030771203,24.92,0,0
0,1,-0.004686153,10.81,0,0
1,0,0,10.92,0,0
-0.5,1.873802888,-0.000355598,5.12,0,0
-0.5,0,0.002331839,51.13,-5.08,1.93
-1.5,-0.25,0.000179041,51.04,-1.96,-1.19
0,1.090438634,0.005001551,56.92,0,0
-1,0,0,10.92,0,0
-0.5,0,0,10.85,0,0
0.465121743,0,0.002327317,10.91,0,0
0.639127146,0,-0.040169557,-37.51,0,0
0,0,0.033505035,24.5,0,0
0,1.59731515,2.83E-05,5.91,0,0
-0.5,0.5,-0.001502441,52.05,-5.19,1.98
-0.25,0,0.002952414,52.29,1.09,-1.18
-0.5,0.5,-0.000156623,52.67,-5.22,1.99
0,0.5,0.00356376,53.28,-2.11,-1.12
0.25,1,-0.00164493,53.3,-2.15,-1.14
0,0.914861562,0.006167338,56.37,0,0
0,0,0,10.87,0,0
1.53685193,0,0.004851729,11,0,0
0.907956985,-1,-0.057995165,-37.73,0,0
0,0.25,0.042977289,23.91,-1.93,2.92
0.276677105,1.75,0.007615473,11.04,0,0
0.832288919,0.584837916,0.007110811,-6.55,0,0
0,0.192466649,-0.044022684,24.3,-1.32,-0.91
0.25,0.5,-0.001771537,24.13,-0.78,-0.91
0.5,0.5,0.002480967,24.09,-3.91,2.22
0.25,0.75,0.000132284,24.08,-0.78,-0.92
1.25,1.25,0.002342478,24.16,-3.93,2.22
0.25,1.25,-0.000342967,24.17,-0.77,-0.92
1.738850481,1.25,0.002361511,24.23,-3.92,2.22
0.559322455,0.393334635,-0.134606613,19.22,-1.23,-0.7
1,0.68763763,0.059932233,24.27,-0.39,-0.93
1.5,0.62593641,0.001486532,24.24,-0.77,-0.93
1.25,1.089152762,0.002093576,24.32,-3.9,2.21
1.839882686,1.57230092,0.00439211,24.26,-3.9,2.2
1,0.19827479,0.002920213,24.49,-0.77,-0.94
1.25,1.5,0.001578778,24.51,-0.76,-0.94
1.25,0.979583291,0.003475347,24.48,-0.75,-0.95
2,1.4349879,0.003399053,24.57,-0.76,-0.95
1.5,0.226640385,0.003293784,24.64,-3.88,2.18
